university,city,country,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,latitude,longitude
Aarhus University,Aarhus,Denmark,20.95,1.08,8.38,55.87,1.4,178.79,30.11,14.11,1048.52,660.74,6.635,1.8,2.87,1.81,56.1496278,10.2134046
University of Luxembourg,Esch-sur-Alzette,Luxembourg,15.58,0.38,5.82,0,,110.11,38.95,13.45,1402.24,1363.29,4.15,3.325,2.2,1.585,49.4959628,5.9850306
University of Twente (UT),Enschede,Netherlands,15.58,0.68,8.31,60.24,2.03,202.49,45.7,10.91,1020.52,825.19,5.065,1.515,2.05,0.98,52.2209855,6.8940537
Darmstadt University of Technology,Darmstadt,Germany,20.25,0.94,6.96,67.52,2.08,228.15,37.51,11.43,980.27,680.92,4.15,1.225,2.1525,2.045,49.8851869,8.6736295
University of North Carolina Chapel Hill,Chapel Hill,United States,15,1.67,7,0,1.71,145.28,65,12,3000,1500,5,2.285,4.2325,2.965,35.9131542,-79.05578
Pennsylvania State University,State College,United States,15,1.46,7.25,88,1.09,189.44,73.33,10.38,1200,983.33,6,2.185,4.3675,2.22,40.7944504,-77.8616386
Heidelberg University,Heidelberg,Germany,15.58,0.58,7.48,83.1,2.8,283.82,38.76,12.98,1012.73,725.2,3.79,1.39,1.92,1.215,49.4093582,8.694724
Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,17.14,0.92,8.52,103.87,2.49,207.72,40.55,12.46,1205.78,980.91,4.93,1.74,2,0.96,51.44855695,5.450122522
The University of Manchester,Manchester,United Kingdom,18.02,1.39,14.56,87.74,1.55,245.93,33.23,11.11,1110.37,796.56,5.19,2.775,2.01,1.44,53.4794892,-2.2451148
KTH Royal Institute of Technology,Stockholm,Sweden,12.38,1.39,6.62,92.4,2.71,98.3,33.5,14.29,1365.56,1016.12,6.67,2.06,2.915,1.285,59.3251172,18.0710935
Kyoto University,Kyoto,Japan,6.14,0.83,3.68,84.09,2.31,127.48,30.68,11.55,613.62,348.92,4.06,2,4.59,2.445,35.021041,135.7556075
Brown University,Providence,United States,24,2.75,10.5,40,2.02,174.48,57.8,12,1750,1250,7,1.665,4.47,3.58,41.8239891,-71.4128343
Delft University of Technology (TU Delft),Delft,Netherlands,10.39,0.62,8.31,54.01,2.65,229.6,41.7,12.46,1146.46,654.38,4.93,1.53,2.0075,0.96,51.9994572,4.362724539
Korea Advanced Institute of Science and Technology (KAIST),Daejeon,South Korea,6.03,1.21,3.39,43.35,0.75,95.96,20.07,9.05,343.03,260.1,3.485,1.615,4.4475,2.14,36.3497007,127.3849016
RWTH Aachen University,Aachen,Germany,10.39,0.5,7.89,72.71,1.97,245.95,29.68,10.39,632.39,437.48,3.64,0.975,1.76,1.515,50.776351,6.083862
Karlsruhe Institute of Technology (KIT),Karlsruhe,Germany,11.17,0.46,7.27,69.59,2.29,234.55,37.97,10.39,688.14,642.69,3.995,0.94,1.7075,1.585,49.0068705,8.4034195
The University of Tokyo,Tokyo,Japan,7.22,0.96,4.33,72.19,3,166.02,31.85,12.99,1105.83,638.41,4.675,2.405,5.23,4.195,35.6812665,139.757653
University of Waterloo,Waterloo,Canada,13.03,1.9,11.17,67.01,1.56,151.03,47.15,9.31,1229.15,1169.97,5.395,2.37,2.57,2.38,43.4652699,-80.5222961
University of Maryland,College Park,United States,13.5,1.8,8.75,,0.67,175,57.87,15,1802.67,1800,6.5,2.6,4.135,2.905,38.980666,-76.9369189
University of Southern California,Los Angeles,United States,20,1.99,11.25,99.5,1.71,140.69,67.95,16,2568.47,1952.66,7.75,2.755,3.3675,2.46,34.0536909,-118.242766
University of British Columbia,Vancouver,Canada,18.24,1.93,14.14,97.16,1.44,87.38,62.44,12.66,1804.36,1509.65,5.955,2.735,2.88,2.26,49.2608724,-123.113952
University of Wisconsin Madison,Madison,United States,14,2.33,10,65,1.68,117.83,66.08,12,1398.75,1083.5,5.5,2.74,2.6925,2.325,43.074761,-89.3837613
University of Texas at Austin,Austin,United States,18,2.12,8,42,1.55,151.96,64.98,12.75,2157,1519.12,7,3.21,3.295,2.43,30.2711286,-97.7436995
"University of California, San Diego",San Diego,United States,20,1.92,10,75,1.86,190.11,73.07,15,2574.42,2041.3,7.5,3,3.4125,2.77,32.7174202,-117.1627728
University of Toronto,Pickering,Canada,16.38,1.49,10.05,87.11,0.74,142.7,52.12,8.93,1228.47,1172.63,5.115,4.095,2.7875,2.42,43.835765,-79.090576
University of Illinois at Urbana Champaign,Urbana,United States,15.5,0.84,7.31,,1.7,107.06,50,12,550,400,5.25,1.715,3.4125,3.045,40.1117174,-88.207301
